id;create_date;rent_price;deposit;floor;area_total;rooms;region;repair_type;agent_fee
249;2021-12-05 21:45:05.047 +0300;45000.00;45000.00;13;54.0;2;1;cosmetic;30
250;2021-12-05 21:44:55.151 +0300;45000.00;45000.00;1;42.0;2;1;cosmetic;50
251;2021-12-05 21:44:28.337 +0300;35000.00;35000.00;12;38.0;1;2;euro;0
252;2021-12-05 21:44:27.534 +0300;35000.00;35000.00;8;59.2;3;2;cosmetic;50
253;2021-12-05 21:43:46.227 +0300;45000.00;45000.00;4;29.0;0;1;euro;50
254;2021-12-05 21:43:06.420 +0300;104500.00;104500.00;3;62.0;2;1;euro;20
255;2021-12-05 21:42:03.731 +0300;33000.00;30000.00;5;36.0;1;2;euro;0
256;2021-12-05 21:42:03.133 +0300;40000.00;0.00;11;54.0;2;1;euro;0
257;2021-12-05 21:41:19.891 +0300;33000.00;33000.00;13;40.0;2;2;euro;50
258;2021-12-05 21:41:02.118 +0300;45000.00;30000.00;4;45.0;2;1;cosmetic;100
259;2021-12-05 21:40:24.796 +0300;45000.00;45000.00;7;35.0;1;1;euro;95
260;2021-12-05 21:40:21.145 +0300;42000.00;42000.00;5;40.0;2;1;euro;95
261;2021-12-05 21:40:20.515 +0300;45000.00;35000.00;11;55.0;2;1;euro;50
262;2021-12-05 21:40:07.315 +0300;32000.00;3200.00;1;48.0;2;2;cosmetic;50
263;2021-12-05 21:40:06.835 +0300;31000.00;27000.00;6;39.0;1;2;cosmetic;0
264;2021-12-05 21:40:00.728 +0300;45000.00;45000.00;8;55.0;2;1;euro;50
265;2021-12-05 21:39:39.488 +0300;43700.00;0.00;1;38.0;1;1;cosmetic;0
266;2021-12-05 21:39:09.119 +0300;44900.00;0.00;14;21.май;1;1;euro;50
267;2021-12-05 21:39:06.331 +0300;40000.00;40000.00;8;35.4;1;1;cosmetic;50
268;2021-12-05 21:39:04.579 +0300;40000.00;40000.00;5;44.5;2;1;cosmetic;80
269;2021-12-05 21:37:38.727 +0300;50000.00;50000.00;4;45.0;1;2;euro;50
270;2021-12-05 21:37:14.211 +0300;40000.00;40000.00;1;33.0;1;1;cosmetic;50
271;2021-12-05 21:36:39.535 +0300;30000.00;30000.00;6;29.0;0;2;euro;0
272;2021-12-05 21:36:32.460 +0300;40000.00;40000.00;11;39.0;1;1;cosmetic;25
273;2021-12-05 21:36:30.995 +0300;40000.00;;12;40.0;1;1;;
274;2021-12-05 21:34:46.761 +0300;40000.00;40000.00;10;40.0;1;1;euro;95
275;2021-12-05 21:34:45.109 +0300;40000.00;40000.00;6;35.0;1;1;euro;95
276;2021-12-05 21:32:56.536 +0300;75000.00;75000.00;3;85.0;3;2;cosmetic;0
277;2021-12-05 21:31:21.758 +0300;45000.00;45000.00;4;78.0;3;2;cosmetic;0
278;2021-12-05 21:31:06.758 +0300;30000.00;30000.00;17;38.0;1;2;euro;0
279;2021-12-05 21:30:56.628 +0300;100000.00;100000.00;11;50.0;2;1;cosmetic;99
280;2021-12-05 21:30:34.125 +0300;45000.00;45000.00;12;65.0;3;2;euro;50
281;2021-12-05 21:28:59.977 +0300;45000.00;45000.00;5;53.0;2;2;cosmetic;0
282;2021-12-05 21:28:56.852 +0300;60000.00;60000.00;2;54.0;2;1;euro;50
283;2021-12-05 21:27:33.157 +0300;80000.00;80000.00;7;79.0;3;1;cosmetic;0
